# redshift	D_L [Mpc]	Age [yr]
5.95353313e-02	2.75571952e+02	1.29627716e+10
6.07832313e-02	2.81594515e+02	1.29462462e+10
6.20572881e-02	2.87753510e+02	1.29294051e+10
6.33580499e-02	2.94052210e+02	1.29122427e+10
6.46860766e-02	3.00493978e+02	1.28947536e+10
6.60419396e-02	3.07082262e+02	1.28769324e+10
6.74262224e-02	3.13820601e+02	1.28587734e+10
6.88395207e-02	3.20712628e+02	1.28402709e+10
7.02824426e-02	3.27762070e+02	1.28214192e+10
7.17556092e-02	3.34972753e+02	1.28022127e+10
7.32596543e-02	3.42348603e+02	1.27826453e+10
7.47952252e-02	3.49893651e+02	1.27627112e+10
7.63629826e-02	3.57612035e+02	1.27424045e+10
7.79636013e-02	3.65508003e+02	1.27217190e+10
7.95977700e-02	3.73585915e+02	1.27006488e+10
8.12661920e-02	3.81850250e+02	1.26791877e+10
8.29695852e-02	3.90305603e+02	1.26573295e+10
8.47086827e-02	3.98956697e+02	1.26350679e+10
8.64842328e-02	4.07808380e+02	1.26123966e+10
8.82969996e-02	4.16865628e+02	1.25893093e+10
9.01477631e-02	4.26133557e+02	1.25657996e+10
9.20373200e-02	4.35617416e+02	1.25418610e+10
9.39664831e-02	4.45322600e+02	1.25174870e+10
9.59360829e-02	4.55254650e+02	1.24926711e+10
9.79469667e-02	4.65419257e+02	1.24674067e+10
1.00000000e-01	4.75822268e+02	1.24416872e+10
1.02096066e-01	4.86469689e+02	1.24155058e+10
1.04236067e-01	4.97367694e+02	1.23888560e+10
1.06420924e-01	5.08522622e+02	1.23617309e+10
1.08651577e-01	5.19940990e+02	1.23341239e+10
1.10928986e-01	5.31629492e+02	1.23060281e+10
1.13254132e-01	5.43595009e+02	1.22774368e+10
1.15628013e-01	5.55844611e+02	1.22483431e+10
1.18051653e-01	5.68385565e+02	1.22187402e+10
1.20526094e-01	5.81225339e+02	1.21886212e+10
1.23052400e-01	5.94371610e+02	1.21579794e+10
1.25631660e-01	6.07832266e+02	1.21268079e+10
1.28264983e-01	6.21615418e+02	1.20950997e+10
1.30953502e-01	6.35729403e+02	1.20628481e+10
1.33698374e-01	6.50182790e+02	1.20300463e+10
1.36500781e-01	6.64984390e+02	1.19966873e+10
1.39361927e-01	6.80143259e+02	1.19627645e+10
1.42283046e-01	6.95668710e+02	1.19282710e+10
1.45265393e-01	7.11570315e+02	1.18932002e+10
1.48310251e-01	7.27857919e+02	1.18575453e+10
1.51418933e-01	7.44541642e+02	1.18212996e+10
1.54592774e-01	7.61631891e+02	1.17844567e+10
1.57833141e-01	7.79139365e+02	1.17470098e+10
1.61141428e-01	7.97075069e+02	1.17089527e+10
1.64519059e-01	8.15450317e+02	1.16702787e+10
1.67967487e-01	8.34276743e+02	1.16309817e+10
1.71488197e-01	8.53566313e+02	1.15910554e+10
1.75082703e-01	8.73331330e+02	1.15504936e+10
1.78752553e-01	8.93584448e+02	1.15092903e+10
1.82499324e-01	9.14338679e+02	1.14674396e+10
1.86324631e-01	9.35607404e+02	1.14249356e+10
1.90230119e-01	9.57404387e+02	1.13817726e+10
1.94217468e-01	9.79743779e+02	1.13379452e+10
1.98288395e-01	1.00264014e+03	1.12934478e+10
2.02444651e-01	1.02610843e+03	1.12482753e+10
2.06688025e-01	1.05016405e+03	1.12024225e+10
2.11020343e-01	1.07482283e+03	1.11558846e+10
2.15443469e-01	1.10010105e+03	1.11086568e+10
2.19959307e-01	1.12601546e+03	1.10607346e+10
2.24569800e-01	1.15258327e+03	1.10121137e+10
2.29276931e-01	1.17982219e+03	1.09627899e+10
2.34082728e-01	1.20775043e+03	1.09127594e+10
2.38989257e-01	1.23638671e+03	1.08620186e+10
2.43998630e-01	1.26575029e+03	1.08105640e+10
2.49113003e-01	1.29586098e+03	1.07583925e+10
2.54334576e-01	1.32673912e+03	1.07055014e+10
2.59665597e-01	1.35840565e+03	1.06518879e+10
2.65108360e-01	1.39088210e+03	1.05975500e+10
2.70665207e-01	1.42419059e+03	1.05424855e+10
2.76338529e-01	1.45835387e+03	1.04866929e+10
2.82130768e-01	1.49339533e+03	1.04301709e+10
2.88044415e-01	1.52933902e+03	1.03729185e+10
2.94082017e-01	1.56620965e+03	1.03149351e+10
3.00246171e-01	1.60403262e+03	1.02562206e+10
3.06539530e-01	1.64283405e+03	1.01967751e+10
3.12964801e-01	1.68264077e+03	1.01365992e+10
3.19524751e-01	1.72348038e+03	1.00756938e+10
3.26222201e-01	1.76538120e+03	1.00140604e+10
3.33060034e-01	1.80837236e+03	9.95170078e+09
3.40041193e-01	1.85248380e+03	9.88861730e+09
3.47168682e-01	1.89774625e+03	9.82481267e+09
3.54445567e-01	1.94419132e+03	9.76029013e+09
3.61874981e-01	1.99185143e+03	9.69505338e+09
3.69460121e-01	2.04075994e+03	9.62910663e+09
3.77204249e-01	2.09095107e+03	9.56245460e+09
3.85110700e-01	2.14245998e+03	9.49510251e+09
3.93182876e-01	2.19532277e+03	9.42705612e+09
4.01424249e-01	2.24957653e+03	9.35832174e+09
4.09838367e-01	2.30525930e+03	9.28890620e+09
