# redshift	D_L [Mpc]	Age [yr]
2.88044415e-01	1.50042840e+03	1.04202071e+10
2.94082017e-01	1.53675896e+03	1.03630135e+10
3.00246171e-01	1.57403429e+03	1.03050868e+10
3.06539530e-01	1.61228056e+03	1.02464265e+10
3.12964801e-01	1.65152464e+03	1.01870327e+10
3.19524751e-01	1.69179418e+03	1.01269059e+10
3.26222201e-01	1.73311760e+03	1.00660469e+10
3.33060034e-01	1.77552410e+03	1.00044571e+10
3.40041193e-01	1.81904370e+03	9.94213810e+09
3.47168682e-01	1.86370727e+03	9.87909213e+09
3.54445567e-01	1.90954651e+03	9.81532181e+09
3.61874981e-01	1.95659401e+03	9.75083023e+09
3.69460121e-01	2.00488325e+03	9.68562099e+09
3.77204249e-01	2.05444865e+03	9.61969817e+09
3.85110700e-01	2.10532552e+03	9.55306637e+09
3.93182876e-01	2.15755020e+03	9.48573069e+09
4.01424249e-01	2.21115995e+03	9.41769678e+09
4.09838367e-01	2.26619309e+03	9.34897083e+09
